initial	answer	clue	category	level	example
ㄴ	날씨	clima	clima	1	오늘은 날씨가 좋아요.
ㄴ	날짜	fecha	tiempo	1	오늘 날짜가 뭐예요?
ㄴ	남자	hombre	personas	1	남자예요.
ㄴ	남자친구	novio	relaciones	1	남자친구를 만나요.
ㄴ	낮	día; horas diurnas	tiempo	1	낮에 한국어를 배워요.
ㄴ	내년	el año que viene	tiempo	1	내년에 대학교에 들어갈 거예요.
ㄴ	내리다	bajar; descender	verbos	1	내일부터 물건값을 내려요.
ㄴ	내일	mañana	tiempo	1	내일은 토요일이에요.
ㄴ	냉장고	refrigerador	hogar	1	냉장고에 물이 있어요.
ㄴ	너무	demasiado; muy	adverbios	1	배가 너무 불러요.
ㄴ	넓다	ser amplio; ancho	adjetivos	1	제 방은 아주 넓습니다.
ㄴ	넣다	meter; poner dentro	verbos	1	음식을 냉장고에 넣어요.
ㄴ	넷	cuatro	números	1	넷이에요.
ㄴ	노란색	color amarillo	colores	1	노란색 꽃이에요.
ㄴ	노랗다	ser amarillo	adjetivos	1	그 옷은 색깔이 노래요.
ㄴ	노래	canción	música	1	노래방에서 노래를 불러요.
ㄴ	노래방	karaoke	ocio	1	노래방에 갔어요.
ㄴ	녹색	color verde	colores	1	녹색을 좋아해요.
ㄴ	놀다	jugar; divertirse; pasar el rato	verbos	1	친구들과 공원에서 놀아요.
ㄴ	농구	baloncesto	deportes	1	농구를 해요.
ㄴ	높다	ser alto; estar elevado	adjetivos	1	산이 높아요.
ㄴ	놓다	poner; dejar sobre algo	verbos	1	책을 책상 위에 놓아요.
ㄴ	누구	quién	preguntas	1	저 사람은 누구예요?
ㄴ	누나	hermana mayor (para hombres)	familia	1	누나가 있어요.
ㄴ	눈	ojo	cuerpo	1	눈이 아파요.
ㄴ	눈	nieve	clima	1	눈이 많이 내려요.
ㄴ	늦게	tarde	tiempo	1	늦게 와요.
ㄷ	다	todo; completamente	adverbios	1	숙제를 다 했어요.
ㄷ	다르다	ser diferente	adjetivos	1	두 사람의 생각이 달라요.
ㄷ	다른	otro; diferente	adjetivos	1	다른 과일은 좋아하지 않아요.
ㄷ	다리	pierna	cuerpo	1	다리가 아파요.
ㄷ	다리	puente	lugares	1	다리를 건너요.
ㄷ	다섯	cinco	números	1	다섯 명이에요.
ㄷ	다시	de nuevo; otra vez	adverbios	1	내년에 다시 가고 싶어요.
ㄷ	다음	siguiente; próximo	tiempo	1	다음 주말에 만나요.
ㄷ	닫다	cerrar	verbos	1	문을 닫아요.
ㄷ	달리다	correr	verbos	1	아침에 공원에서 달려요.
ㄷ	더	más	adverbios	1	형은 동생보다 키가 더 커요.
ㄷ	더럽다	estar sucio	adjetivos	1	청소를 안 해서 방이 더러워요.
ㄷ	덥다	hacer calor	clima	1	여름은 더워요.
ㄷ	도서관	biblioteca	lugares	1	도서관에서 공부해요.
ㄷ	돈	dinero	compras	1	돈이 없어요.
ㄷ	돌아오다	regresar; volver	verbos	1	서울로 돌아와요.
ㄷ	동생	hermano/a menor	familia	1	동생이 있어요.
ㄷ	두	dos (delante de un sustantivo)	números	1	사과 두 개를 샀어요.
ㄷ	둘	dos	números	1	사과가 둘 있어요.
ㄷ	뒤	detrás	ubicación	1	건물 뒤에 있어요.
ㄷ	드라마	drama	entretenimiento	1	드라마를 자주 봐요.
ㄷ	듣다	escuchar; oír	verbos	1	저는 음악을 자주 들어요.
ㄷ	들어가다	entrar; ir hacia dentro	verbos	1	문을 열고 교실에 들어가요.
ㄸ	따뜻하다	ser cálido; estar templado	adjetivos	1	봄에는 날씨가 따뜻해요.
ㄸ	딸	hija	familia	1	딸이 있어요.
ㄸ	딸기	frutilla	comida	1	딸기를 좋아해요.
ㄸ	또	también; otra vez	adverbios	1	어제 입은 옷을 오늘 또 입어요.
ㄹ	라디오	radio	medios	1	라디오를 들어요.
ㄹ	라면	ramen/comida instantánea	comida	1	라면을 먹어요.
ㄹ	러시아	Rusia	países	1	러시아 사람이에요.
ㄹ	레몬	limón	comida	1	레몬을 좋아해요.
ㄹ	로봇	robot	tecnología	1	로봇이 움직여요.
ㄹ	리본	cinta/lazo	objetos	1	리본이 예뻐요.
ㅁ	마시다	beber	verbos	1	운동을 한 후에 물을 마셔요.
ㅁ	만나다	encontrarse; conocer	verbos	1	학교 앞에서 친구를 만나요.
ㅁ	만들다	hacer; crear; fabricar	verbos	1	나무로 종이를 만들어요.
ㅁ	많다	haber mucho; ser numeroso	adjetivos	1	공항에 사람이 많아요.
ㅁ	많이	mucho	adverbios	1	밥을 많이 먹었어요.
ㅁ	말하다	hablar; decir	verbos	1	한국어로 말해요.
ㅁ	맑다	estar despejado; ser claro	clima	1	오늘은 하늘이 맑아요.
ㅁ	맛	sabor	comida	1	맛이 좋아요.
ㅁ	맛없다	no ser rico; tener mal sabor	adjetivos	1	이 음식은 맛없어요.
ㅁ	맛있다	ser rico; delicioso	adjetivos	1	이 음식은 맛있어요.
ㅁ	매일	todos los días	adverbios	1	저는 매일 일기를 써요.
ㅁ	매주	todas las semanas	adverbios	1	매주 일요일에는 집에서 쉬어요.
ㅁ	맵다	ser picante	adjetivos	1	김치가 매워요.
ㅁ	머리	cabeza; cabello	cuerpo	1	머리가 아파요.
ㅁ	먹다	comer	verbos	1	아침에 밥을 먹어요.
ㅁ	먼저	primero; antes	adverbios	1	먼저 손을 씻어요.
ㅁ	멀다	estar lejos	adjetivos	1	학교가 멀어요.
ㅁ	메뉴	menú	comida	1	메뉴를 보세요.
ㅁ	멕시코	México	países	1	멕시코 사람이에요.
ㅁ	몇	cuánto; qué	preguntas	1	몇 시예요?
ㅁ	모두	todos; todo	adverbios	1	책을 모두 읽었어요.
ㅁ	모르다	no saber; desconocer	verbos	1	그 사람의 이름은 몰라요.
ㅁ	모양	forma; aspecto	general	1	저와 동생은 머리 모양이 달라요.
ㅁ	모자	gorra; sombrero	ropa	1	모자를 써요.
ㅁ	목	cuello; garganta	cuerpo	1	목이 아파요.
ㅁ	몸	cuerpo	cuerpo	1	몸이 피곤해요.
ㅁ	무릎	rodilla	cuerpo	1	무릎이 아파요.
ㅁ	무섭다	dar miedo; tener miedo	adjetivos	1	이 영화는 무서워요.
ㅁ	무슨	qué; qué tipo de	preguntas	1	무슨 음식을 좋아해요?
ㅁ	문	puerta	hogar	1	문을 열어요.
ㅁ	묻다	preguntar	verbos	1	그가 제 이름을 물었어요.
ㅁ	물	agua	comida	1	물을 마셔요.
ㅁ	물건	objeto; artículo; cosa	objetos	1	가방 안에 물건이 많아요.
ㅁ	미국	Estados Unidos	países	1	미국에 가고 싶어요.
ㅁ	미안하다	sentirlo; estar arrepentido	adjetivos	1	늦었어요. 미안해요.
ㅂ	바다	mar	naturaleza	1	바다를 좋아해요.
ㅂ	바쁘다	estar ocupado	adjetivos	1	오늘은 바빠요.
ㅂ	바지	pantalón	ropa	1	바지를 샀어요.
ㅂ	밖	fuera; exterior	posición	1	밖에 사람이 많아요.
ㅂ	반갑다	alegrarse de conocer o ver a alguien	adjetivos	1	만나서 반가워요.
ㅂ	받다	recibir	verbos	1	친구의 전화를 받았어요.
ㅂ	발	pie	cuerpo	1	발이 아파요.
ㅂ	밤	noche	tiempo	1	밤에는 잠을 자요.
ㅂ	밥	arroz (cocido)/comida	comida	1	밥을 먹어요.
ㅂ	방	habitación; cuarto	hogar	1	방이 넓어요.
ㅂ	배	barco	transporte	1	배를 타고 섬에 가요.
ㅂ	배	pera	frutas	1	배를 먹어요.
ㅂ	배	barriga; vientre	cuerpo	1	배가 아파요.
ㅂ	배고프다	tener hambre	comida	1	배고파요.
ㅂ	배우	actor/actriz	profesiones	1	유명한 배우예요.
ㅂ	배우다	aprender	verbos	1	한국어를 배워요.
ㅂ	버리다	tirar; desechar	verbos	1	쓰레기를 쓰레기통에 버리세요.
ㅂ	버스	autobús	transporte	1	버스를 타요.
ㅂ	벗다	quitarse ropa o zapatos	verbos	1	신발을 벗어요.
ㅂ	베트남	Vietnam	países	1	베트남 음식을 좋아해요.
ㅂ	병원	hospital	lugares	1	병원에 가요.
ㅂ	보다	ver; mirar	verbos	1	옷을 입고 거울을 봐요.
ㅂ	보통	normalmente; por lo general	adverbios	1	주말에는 보통 친구를 만나요.
ㅂ	봄	primavera	clima	1	봄이 좋아요.
ㅂ	부모님	padres	familia	1	부모님과 함께 살아요.
ㅂ	부산	Busan	ciudades	1	부산에 가요.
ㅂ	부엌	cocina	vivienda	1	부엌에서 요리를 해요.
ㅂ	북쪽	norte; lado norte	ubicación	1	북쪽으로 가요.
ㅂ	분	minuto	tiempo	1	십 분 기다렸어요.
ㅂ	비	lluvia	clima	1	비가 와서 우산을 써요.
ㅂ	비싸다	ser caro	adjetivos	1	사과 값이 비싸요.
ㅂ	비행기	avión	transporte	1	비행기를 타고 여행을 가요.
ㅃ	빨간색	color rojo	colores	1	빨간색 꽃이에요.
ㅃ	빨갛다	ser rojo	adjetivos	1	가을에는 단풍이 빨개요.
ㅃ	빨리	rápidamente	adverbios	1	바빠서 밥을 빨리 먹었어요.
ㅃ	빵	pan	comida	1	빵을 먹어요.
ㅃ	빵집	panadería	lugares	1	빵집에 가요.
ㅅ	사	cuatro	números	1	사월이에요.
ㅅ	사과	manzana	comida	1	사과를 먹어요.
ㅅ	사다	comprar	verbos	1	시장에서 사과를 사요.
ㅅ	사람	persona	personas	1	좋은 사람이에요.
ㅅ	사진	foto; fotografía	objetos	1	여행에서 사진을 찍었어요.
ㅅ	산	montaña	naturaleza	1	산에 가요.
ㅅ	산책	paseo; caminata	actividades	1	식사 후에 공원에서 산책을 해요.
ㅅ	살다	vivir; residir	verbos	1	저는 서울에 삽니다.
ㅅ	삼	tres	números	1	삼 층이에요.
ㅅ	상자	caja	hogar	1	상자 안에 책이 있어요.
ㅅ	새	nuevo	determinantes	1	새 옷을 샀습니다.
ㅅ	색	color (raíz hanja)	colores	1	무슨 색을 좋아해요?
ㅅ	색깔	color (uso cotidiano)	colores	1	무슨 색깔을 좋아해요?
ㅅ	색연필	lápiz de color	objetos	1	색연필로 그림을 그려요.
ㅅ	색종이	papel de colores	objetos	1	색종이로 꽃을 만들어요.
ㅅ	생각	pensamiento; idea	general	1	제 생각을 말했어요.
ㅅ	생각하다	pensar	verbos	1	내일 일을 생각해요.
ㅅ	생일	cumpleaños	tiempo	1	오늘은 제 생일이에요.
ㅅ	샤워	ducha	vida diaria	1	샤워를 해요.
ㅅ	서울	Seúl	ciudades	1	서울에 가고 싶어요.
ㅅ	서점	librería	lugares	1	서점에 가요.
ㅅ	선물	regalo	objetos	1	친구에게 선물을 줬어요.
ㅅ	선생님	profesor/a; maestro/a	educación	1	선생님, 감사합니다.
ㅅ	세	tres (contador nativo)	números	1	세 명이에요.
ㅅ	세탁기	lavadora	hogar	1	세탁기로 옷을 빨아요.
ㅅ	셋	tres	números	1	셋이 있어요.
ㅅ	손	mano	cuerpo	1	손을 씻어요.
ㅅ	손가락	dedo de la mano	cuerpo	1	손가락이 아파요.
ㅅ	손님	cliente; invitado	personas	1	가게에 손님이 많아요.
ㅅ	쇼핑	compras	compras	1	백화점에서 쇼핑을 해요.
ㅅ	수박	sandía	comida	1	수박을 좋아해요.
ㅅ	수업	clase	educación	1	학교에서 한국어 수업을 해요.
ㅅ	수영	natación	deportes	1	수영을 배워요.
ㅅ	수요일	miércoles	tiempo	1	수요일에 만나요.
ㅅ	숟가락	cuchara	utensilios	1	숟가락으로 밥을 먹어요.
ㅅ	쉬다	descansar	verbos	1	일요일에는 집에서 쉬어요.
ㅅ	쉽다	ser fácil	adjetivos	1	시험 문제가 쉬워서 다 맞았어요.
ㅅ	시	hora	tiempo	1	세 시예요.
ㅅ	시간	tiempo; hora	tiempo	1	시간이 없어요.
ㅅ	시작하다	iniciar; empezar algo	verbos	1	수업을 시작해요.
ㅅ	시장	mercado	lugares	1	시장에서 과일을 사요.
ㅅ	시험	examen	educación	1	내일 시험이 있어요.
ㅅ	식당	restaurante	lugares	1	학교 앞 식당은 맛있어요.
ㅅ	식사	comida; comida formal	vida diaria	1	식사를 해요.
ㅅ	신다	ponerse; llevar puesto calzado	verbos	1	날씨가 추워서 따뜻한 양말을 신었어요.
ㅅ	신문	periódico	comunicación	1	오늘 신문을 읽었어요.
ㅅ	신발	calzado; zapatos	ropa	1	새 신발을 샀어요.
ㅅ	싫다	no gustar; resultar desagradable	adjetivos	1	저는 겨울이 싫어요.
ㅅ	싫어하다	no gustar; detestar	verbos	1	저는 추운 계절을 싫어해요.
ㅅ	심심하다	estar aburrido	adjetivos	1	오늘은 심심해요.
ㅅ	십	diez	números	1	십 분이에요.
ㅅ	십이	doce	números	1	십이 월이에요.
ㅅ	십일	once	números	1	십일 명이에요.
ㅆ	싸다	ser barato	adjetivos	1	학교 식당 음식이 싸요.
ㅆ	쌀	arroz	comida	1	쌀을 샀어요.
ㅆ	쓰다	escribir; usar; ponerse	verbos	1	공책에 이름을 써요.
ㅆ	쓰레기	basura	medio ambiente	1	쓰레기를 버려요.
ㅆ	씨	señor/señora	personas	1	민수 씨 안녕하세요.
ㅆ	씻다	lavar; lavarse	verbos	1	비누로 손을 씻어요.
ㅇ	아래	debajo	ubicación	1	의자 아래에 있어요.
ㅇ	아버지	padre	familia	1	아버지는 회사원이에요.
ㅇ	아주	muy	adverbios	1	제 동생은 공부를 아주 잘해요.
ㅇ	아직	todavía; aún	adverbios	1	아직 회사에서 일해요.
ㅇ	아침	mañana; desayuno	tiempo	1	저는 아침 7시에 일어나요.
ㅇ	아프다	estar enfermo; doler	adjetivos	1	배가 아파서 병원에 가요.
ㅇ	아홉	nueve	números	1	아홉 시예요.
ㅇ	안	dentro; interior	posición	1	가방 안에 책이 있어요.
ㅇ	앉다	sentarse	verbos	1	의자에 앉으세요.
ㅇ	알다	saber; conocer	verbos	1	저는 민수 씨를 알아요.
ㅇ	앞	delante; frente	lugares	1	학교 앞에서 친구를 만나요.
ㅇ	야구	béisbol	deportes	1	야구를 좋아해요.
ㅇ	약	medicina	salud	1	배가 아파서 약을 먹었어요.
ㅇ	약국	farmacia	lugares	1	약국에서 약을 사요.
ㅇ	약속	cita; compromiso; promesa	relaciones	1	주말에 친구와 약속이 있어요.
ㅇ	양말	calcetines	ropa	1	양말을 샀어요.
ㅇ	어깨	hombro	cuerpo	1	어깨가 아파요.
ㅇ	어느	cuál/qué	preguntas	1	어느 나라 사람이에요?
ㅇ	어디	dónde	preguntas	1	은행이 어디에 있어요?
ㅇ	어떤	qué tipo de; cuál	preguntas	1	어떤 음식을 좋아해요?
ㅇ	어떻게	cómo	preguntas	1	학교에 어떻게 가요?
ㅇ	어렵다	ser difícil	adjetivos	1	한국어가 어려워요.
ㅇ	어른	adulto	personas	1	어른을 만나면 먼저 인사해요.
ㅇ	어리다	ser joven; tener poca edad	adjetivos	1	동생은 저보다 두 살 어려요.
ㅇ	어머니	madre	familia	1	어머니는 선생님이에요.
ㅇ	어제	ayer	tiempo	1	어제는 토요일이었어요.
ㅇ	언니	hermana mayor (para mujeres)	familia	1	언니와 쇼핑해요.
ㅇ	언제	cuándo	preguntas	1	언제 학교에 가요?
ㅇ	얼굴	cara; rostro	cuerpo	1	얼굴을 씻어요.
ㅇ	얼마	cuánto; qué precio	preguntas	1	사과 하나에 얼마예요?
ㅇ	여기	aquí	lugares	1	여기가 민수 씨 학교예요?
ㅇ	여덟	ocho	números	1	여덟 살이에요.
ㅇ	여름	verano	estaciones	1	한국의 여름은 더워요.
ㅇ	여섯	seis	números	1	여섯 시예요.
ㅇ	여자	mujer	personas	1	여자 화장실이에요.
ㅇ	여자친구	novia	relaciones	1	여자친구를 만나요.
ㅇ	여행	viaje	viajes	1	한국으로 여행을 가요.
ㅇ	여행하다	viajar	verbos	1	주말에 제주도를 여행했어요.
ㅇ	역	estación	transporte	1	서울역에 가요.
ㅇ	연습	práctica	educación	1	매일 연습해요.
ㅇ	연필	lápiz	objetos	1	연필로 써요.
ㅇ	열	diez	números	1	열 시예요.
ㅇ	열다	abrir	verbos	1	날씨가 더워서 창문을 열었어요.
ㅇ	영어	idioma inglés	idiomas	1	영어를 공부해요.
ㅇ	영화	película	entretenimiento	1	지금 영화관에서 영화를 봐요.
ㅇ	영화관	cine	lugares	1	영화관에서 영화를 봐요.
ㅇ	옆	al lado	ubicación	1	은행 옆이에요.
ㅇ	예쁘다	ser bonito	adjetivos	1	꽃이 예뻐요.
ㅇ	오	cinco	números	1	오 시예요.
ㅇ	오늘	hoy	tiempo	1	오늘은 일요일이에요.
ㅇ	오다	venir	verbos	1	친구가 우리 집에 와요.
ㅇ	오른쪽	derecha	ubicación	1	오른쪽으로 가세요.
ㅇ	오빠	hermano mayor (para mujeres)	familia	1	오빠는 대학생이에요.
ㅇ	오전	mañana; antes del mediodía	tiempo	1	오전에 수업이 있어요.
ㅇ	오후	tarde; después del mediodía	tiempo	1	오후에 도서관에 가요.
ㅇ	올해	este año	tiempo	1	저는 올해 스무 살이에요.
ㅇ	옷	ropa	ropa	1	백화점에서 옷을 샀어요.
ㅇ	와이파이	wifi	tecnología	1	와이파이를 사용할 수 있어요.
ㅇ	왜	por qué	preguntas	1	왜 늦었어요?
ㅇ	왼쪽	izquierda	ubicación	1	왼쪽으로 가세요.
ㅇ	요리	cocina; preparación de comida	actividades	1	저는 요리를 잘해요.
ㅇ	요일	día de la semana	tiempo	1	무슨 요일이에요?
ㅇ	요즘	últimamente; hoy en día; recientemente	tiempo	1	요즘 저는 한국어를 배워요.
ㅇ	우리	nosotros; nuestro	pronombres	1	우리 네 명은 학생이에요.
ㅇ	우유	leche	comida	1	우유를 마셔요.
ㅇ	우체국	oficina de correos	lugares	1	우체국에 가요.
ㅇ	운동	ejercicio; deporte	actividades	1	축구와 수영은 운동이에요.
ㅇ	운동하다	hacer ejercicio	verbos	1	저는 매일 아침에 운동해요.
ㅇ	운동화	zapatillas	ropa	1	운동화를 신어요.
ㅇ	웃다	sonreír; reír	verbos	1	웃는 얼굴이 예뻐요.
ㅇ	원	won (moneda coreana)	dinero	1	만 원이에요.
ㅇ	월	mes	números	1	오월이에요.
ㅇ	위	arriba; encima	ubicación	1	책상 위에 있어요.
ㅇ	육	seis	números	1	육 명이에요.
ㅇ	은행	banco	lugares	1	은행에 갔어요.
ㅇ	음료수	bebida	comida	1	음료수를 마셔요.
ㅇ	음식	comida; alimento	comida	1	한국 음식을 좋아해요.
ㅇ	의사	médico	profesiones	1	의사는 병원에서 일해요.
ㅇ	의자	silla	hogar	1	여기 의자에 앉으세요.
ㅇ	이	dos	números	1	이 명이에요.
ㅇ	이	diente	cuerpo	1	이가 아파요.
ㅇ	이름	nombre	personas	1	제 이름은 민수예요.
ㅇ	이십칠	veintisiete	números	1	이십칠 살이에요.
ㅇ	이야기하다	hablar; conversar	verbos	1	친구와 매일 이야기해요.
ㅇ	인사	saludo	vida diaria	1	인사를 해요.
ㅇ	인사하다	saludar	verbos	1	학교에서 친구를 만나면 반갑게 인사합니다.
ㅇ	인천	Incheon	ciudades	1	인천공항에 갔어요.
ㅇ	인터넷	internet	tecnología	1	인터넷이 빨라요.
ㅇ	일	uno; día	números	1	일월이에요.
ㅇ	일곱	siete	números	1	일곱 개 있어요.
ㅇ	일어나다	levantarse	verbos	1	저는 아침에 일찍 일어나요.
ㅇ	일요일	domingo	tiempo	1	일요일에 공부해요.
ㅇ	일주일	una semana	tiempo	1	일주일 동안 여행을 갔다 왔어요.
ㅇ	일찍	temprano	adverbios	1	저는 아침에 일찍 학교에 가요.
ㅇ	일하다	trabajar	verbos	1	저는 병원에서 일해요.
ㅇ	읽다	leer	verbos	1	저는 매일 책을 읽어요.
ㅇ	입	boca	cuerpo	1	입을 크게 벌리세요.
ㅇ	입구	entrada	lugares	1	입구가 어디예요?
ㅇ	입다	ponerse; llevar ropa	verbos	1	저는 청바지를 입었어요.
ㅇ	있다	haber; estar; tener	adjetivos	1	저는 동생이 있어요.
ㅈ	자기소개	presentación personal	vida diaria	1	자기소개를 해 주세요.
ㅈ	자다	dormir	verbos	1	저는 밤 11시쯤 자요.
ㅈ	자동차	automóvil; coche	transporte	1	자동차로 20분 걸려요.
ㅈ	자연	naturaleza	naturaleza	1	한국의 자연이 아름다워요.
ㅈ	자전거	bicicleta	transporte	1	저는 자전거를 못 타요.
ㅈ	자주	a menudo; frecuentemente	adverbios	1	저는 영화를 자주 봐요.
ㅈ	작년	el año pasado	tiempo	1	저는 작년에 대학교를 졸업했어요.
ㅈ	작다	ser pequeño; bajo	adjetivos	1	동생은 손이 작아요.
ㅈ	잘하다	hacer bien; ser bueno en algo	verbos	1	저는 한국어를 잘해요.
ㅈ	잠시	un momento; por un momento	tiempo	1	잠시 기다려 주세요.
ㅈ	재미없다	ser aburrido; no ser interesante	adjetivos	1	이 영화는 재미없어요.
ㅈ	재미있다	ser divertido; interesante	adjetivos	1	생일 파티가 정말 재미있었어요.
ㅈ	저	yo (formal)	pronombres	1	저는 학생이에요.
ㅈ	저녁	tarde-noche; cena	comida	1	저녁을 먹어요.
ㅈ	전	antes; previo	tiempo	1	수업 시작 10분 전에 오세요.
ㅈ	전화	teléfono; llamada telefónica	comunicación	1	친구에게 전화를 해요.
ㅈ	전화번호	número de teléfono	comunicación	1	전화번호가 어떻게 되세요?
ㅈ	점심	mediodía; almuerzo	comida	1	점심을 먹어요.
ㅈ	접시	plato	utensilios	1	접시에 과일이 있어요.
ㅈ	젓가락	palillos	comida	1	젓가락으로 먹어요.
ㅈ	정말	realmente; de verdad	adverbios	1	이 음식은 정말 맛있어요.
ㅈ	제일	el/la más	superlativos	1	제일 좋아하는 음식이에요.
ㅈ	제주도	Isla Jeju	lugares	1	제주도에 가고 싶어요.
ㅈ	조금	un poco	adverbios	1	학교에 조금 더 일찍 오세요.
ㅈ	조용하다	ser silencioso; estar tranquilo	adjetivos	1	교실이 조용해요.
ㅈ	좁다	ser estrecho	adjetivos	1	지금 사는 방이 조금 좁습니다.
ㅈ	좋다	ser bueno; gustar	adjetivos	1	운동은 건강에 좋아요.
ㅈ	좋아하다	gustar	verbos	1	저는 축구를 좋아해요.
ㅈ	주다	dar	verbos	1	친구에게 선물을 줘요.
ㅈ	주말	fin de semana	tiempo	1	이번 주말에 부산에 가요.
ㅈ	주문	pedido; orden	compras	1	주문할게요.
ㅈ	주세요	deme por favor	expresiones	1	물 주세요.
ㅈ	주스	jugo	comida	1	주스를 마셔요.
ㅈ	준비하다	preparar	verbos	1	생일 선물을 준비해요.
ㅈ	중국	China	países	1	중국어를 공부해요.
ㅈ	중학교	escuela media	educación	1	중학교 2학년이에요.
ㅈ	지금	ahora	tiempo	1	지금 한국어를 공부해요.
ㅈ	지난달	mes pasado	tiempo	1	지난달에 갔어요.
ㅈ	지난주	semana pasada	tiempo	1	지난주에 여행했어요.
ㅈ	지도	mapa	lugares	1	지도를 봐요.
ㅈ	지우개	borrador	objetos	1	지우개를 빌려 주세요.
ㅈ	지하철	metro; subterráneo	transporte	1	지하철을 이용해요.
ㅈ	지하철역	estación de metro	transporte	1	지하철역 근처에 살아요.
ㅈ	질문	pregunta	comunicación	1	선생님, 질문이 있어요.
ㅈ	집	casa; hogar	vivienda	1	내일은 집에서 쉴 거예요.
ㅉ	짧다	ser corto	adjetivos	1	저는 짧은 치마를 좋아해요.
ㅉ	찌개	guiso coreano	comida	1	김치찌개를 좋아해요.
ㅉ	찍다	tomar una foto; marcar; estampar	verbos	1	여행을 가서 사진을 찍었어요.
ㅊ	차	té	bebidas	1	따뜻한 차를 마셔요.
ㅊ	차	automóvil; coche	transporte	1	차를 타고 회사에 가요.
ㅊ	창문	ventana	hogar	1	창문을 열어요.
ㅊ	찾다	buscar; encontrar	verbos	1	잃어버린 지갑을 찾았어요.
ㅊ	책	libro	objetos	1	도서관에서 책을 읽어요.
ㅊ	책상	escritorio	hogar	1	책상에서 공부해요.
ㅊ	처음	primera vez; al principio	tiempo	1	우리는 한국에서 처음 만났어요.
ㅊ	천만에요	de nada	expresiones	1	천만에요.
