initial,answer,clue,category,level,example
ㅇ,아버지,padre,familia,1,아버지는 회사원이에요.
ㅇ,아주,muy,adverbios,1,제 동생은 공부를 아주 잘해요.
ㅇ,아직,todavía; aún,adverbios,1,아직 회사에서 일해요.
ㅇ,아침,mañana; desayuno,tiempo,1,저는 아침 7시에 일어나요.
ㅈ,자주,a menudo; frecuentemente,adverbios,1,저는 영화를 자주 봐요.
ㅈ,작년,el año pasado,tiempo,1,저는 작년에 대학교를 졸업했어요.
ㅈ,작다,ser pequeño; bajo,adjetivos,1,동생은 손이 작아요.
ㅈ,잘하다,hacer bien; ser bueno en algo,verbos,1,저는 한국어를 잘해요.
ㅈ,잠시,un momento; por un momento,tiempo,1,잠시 기다려 주세요.
ㅉ,짧다,ser corto,adjetivos,1,저는 짧은 치마를 좋아해요.
ㅉ,찌개,guiso coreano,comida,1,김치찌개를 좋아해요.
ㅉ,찍다,tomar una foto; marcar; estampar,verbos,1,여행을 가서 사진을 찍었어요.
ㅊ,차,té,bebidas,1,따뜻한 차를 마셔요.
ㅊ,차,automóvil; coche,transporte,1,차를 타고 회사에 가요.
ㅊ,창문,ventana,hogar,1,창문을 열어요.
ㅊ,찾다,buscar; encontrar,verbos,1,잃어버린 지갑을 찾았어요.
ㅊ,책,libro,objetos,1,도서관에서 책을 읽어요.
ㅋ,컵,taza; vaso,utensilios,1,컵에 물이 있어요.
ㅋ,케이크,pastel,comida,1,케이크를 먹어요.
ㅋ,코,nariz,cuerpo,1,코가 아파요.
ㅋ,크다,ser grande; alto,adjetivos,1,수박은 사과보다 커요.
ㅋ,키,altura,personas,1,제 친구는 저보다 키가 작아요.
ㅌ,타다,subir a; tomar un transporte,verbos,1,지하철을 타고 학교에 가요.
ㅌ,텔레비전,televisión,medios,1,텔레비전을 봐요.
ㅌ,토요일,sábado,tiempo,1,토요일에 쉬어요.
ㅍ,파란색,color azul,colores,1,파란색 하늘이에요.
ㅍ,파스타,pasta,comida,1,파스타를 먹어요.
ㅍ,팔,ocho,números,1,팔 시예요.
ㅍ,팔,brazo,cuerpo,1,팔을 들어요.
ㅍ,팔다,vender,verbos,1,시장에서 과일을 팔아요.
ㅍ,편의점,tienda de conveniencia,lugares,1,편의점에서 물을 샀어요.
ㅍ,편지,carta,comunicación,1,부모님께 편지를 써요.
ㅍ,피자,pizza,comida,1,피자를 먹어요.
ㅎ,하나,uno,números,1,사과 하나 주세요.
ㅎ,하늘,cielo,naturaleza,1,하늘이 파래요.
ㅎ,하다,hacer,verbos,1,숙제를 해요.
ㅎ,하루,un día,tiempo,1,하루 동안 서울을 여행했어요.
ㅎ,하얀색,color blanco,colores,1,하얀색 옷이에요.
